row,col,x,y,lon,lat,built_up_share_pct,natural_green_share_pct,elevation_m,population_density_people_km2,residential_share_pct,nearest_industrial_distance_km,ndvi_p50
6,51,538500.0,3425500.0,108.40291170117713,30.94999557056147,0.41201258,89.64284,962.2772216796875,84.41344,0.0,3.0894227,0.5663981
6,52,539500.0,3425500.0,108.4133767128111,30.94996252702768,0.0,97.82863,945.5192260742188,97.72187,0.0,2.7229452,0.6411543
6,53,540500.0,3425500.0,108.42384170695651,30.94992863629022,0.0,99.57327,882.2310791015625,91.448975,0.0,2.6636717,0.63778895
6,54,541500.0,3425500.0,108.43430668317068,30.94989389835417,0.0,98.896385,862.511962890625,95.92144,0.0,2.698949,0.6220765
6,55,542500.0,3425500.0,108.44477164101092,30.949858313224663,0.0,100.0,859.2582397460938,119.48102,0.0,3.0255947,0.64625156
6,56,543500.0,3425500.0,108.45523658003455,30.949821880907017,0.0,100.0,718.9535522460938,134.50964,0.0,3.6088946,0.68769217
6,57,544500.0,3425500.0,108.46570149979893,30.94978460140665,0.0,99.81606,677.3868408203125,163.48341,0.0,4.346725,0.6685586
6,58,545500.0,3425500.0,108.47616639986133,30.949746474729118,0.2427999,99.7572,528.398681640625,146.92433,0.0,5.173385,0.65069574
6,59,546500.0,3425500.0,108.48663127977915,30.949707500880077,1.4058094,97.358116,397.7655334472656,125.54064,0.0,6.052587,0.6231802
6,60,547500.0,3425500.0,108.49709613910969,30.94966767986536,0.37859008,97.23497,413.5927429199219,147.62466,0.0,6.9644604,0.60368985
6,61,548500.0,3425500.0,108.50756097741032,30.949627011690865,0.286949,98.8043,396.69598388671875,148.94745,0.0,7.897696,0.6338078
6,62,549500.0,3425500.0,108.5180257942384,30.949585496362673,3.8371563,95.48984,288.2377624511719,162.6529,0.6720831,7.2614064,0.6046261
6,63,550500.0,3425500.0,108.52849058915128,30.94954313388694,4.6085606,95.221275,315.966796875,170.12314,0.0,6.4277935,0.57450724
6,64,551500.0,3425500.0,108.53895536170631,30.949499924269993,4.064285,95.34633,359.71771240234375,141.65353,0.0,5.7379475,0.60881484
7,45,532500.0,3424500.0,108.3400893461241,30.94115650771802,6.1979303,85.26377,681.3637084960938,163.70256,0.0,5.6094356,0.6084229
7,46,533500.0,3424500.0,108.35055347060164,30.94112855743137,4.345343,92.65619,906.8605346679688,142.60318,2.7989578,4.632645,0.5918104
7,47,534500.0,3424500.0,108.36101758025261,30.941099760214204,0.44957507,99.395905,1092.2620849609375,102.10289,0.575943,4.2713504,0.6660129
7,48,535500.0,3424500.0,108.37148167463448,30.94107011607083,0.6371949,99.3628,1123.0482177734375,77.61514,0.6450681,3.764212,0.64228666
7,49,536500.0,3424500.0,108.38194575330472,30.941039625005637,0.0,99.466606,1058.0574951171875,81.587204,0.0,3.2784762,0.664362
7,50,537500.0,3424500.0,108.39240981582077,30.941008287023166,0.3605431,96.365944,1038.6484375,91.39714,0.0,2.8546,0.6666644
7,51,538500.0,3424500.0,108.40287386174013,30.940976102128083,0.11772878,90.466934,924.8502807617188,103.0931,0.0,2.2841167,0.62033564
7,52,539500.0,3424500.0,108.41333789062028,30.94094307032519,0.0,98.79013,822.9340209960938,132.19664,0.0,1.7570107,0.63370734
7,53,540500.0,3424500.0,108.4238019020187,30.940909191619408,0.0,99.58552,713.9299926757812,154.53151,0.0,1.6636716,0.6448445
7,54,541500.0,3424500.0,108.43426589549284,30.940874466015753,0.0,98.1446,832.8971557617188,183.16649,1.0924759,1.7195882,0.59332156
7,55,542500.0,3424500.0,108.44472987060024,30.940838893519413,0.0,98.98341,654.6588134765625,219.72997,0.38112807,2.1970162,0.6413563
7,56,543500.0,3424500.0,108.45519382689838,30.940802474135694,0.0,99.529106,541.9475708007812,220.83708,0.0,2.94903,0.6557339
7,57,544500.0,3424500.0,108.46565776394475,30.94076520786999,2.250201,94.66979,444.0011291503906,254.37563,0.0,3.8166313,0.59344786
7,58,545500.0,3424500.0,108.47612168129685,30.940727094727876,0.1250903,98.71034,368.5264587402344,226.10472,0.0,4.736726,0.6212398
7,59,546500.0,3424500.0,108.48658557851222,30.940688134715014,1.3339252,98.33874,410.6682434082031,208.14606,0.0,5.6820173,0.63474095
7,60,547500.0,3424500.0,108.49704945514834,30.940648327837188,5.734002,90.753365,304.235595703125,197.60287,0.0,6.6393,0.57176816
7,61,548500.0,3424500.0,108.50751331076276,30.940607674100352,8.133886,89.07183,291.9386291503906,170.31558,0.0,7.607581,0.5726783
7,62,549500.0,3424500.0,108.517977144913,30.940566173510543,14.090665,80.867256,222.02488708496094,262.2924,5.8794284,6.7961025,0.5056718
7,63,550500.0,3424500.0,108.52844095715658,30.940523826073925,0.44440544,92.48645,371.4329833984375,177.16994,0.0,5.897077,0.5755173
