line_id,pattern,built_up_pct,natural_green_pct,elevation_m,population_density,residential_pct,industrial_distance_km,ndvi_p50,jas_cdd24_per_year,ndjf_hdd18_per_year
映祥线(471),Pattern 2,40.43471588075049,28.110731688600698,187.5344487412201,2349.796875,0.08120979205713,1.5328004132267057,0.2320001125335693,433.8606371193604,1005.3848434411344
映龙二回(469),Pattern 2,42.34414974876221,27.5091568349561,186.31757643022905,2349.796875,0.48334771136181004,1.4260238692970404,0.2320001125335693,433.8606371193604,1005.3848434411344
未来城一回（459）,Pattern 2,57.668711656441715,36.27098805295447,249.67691498782375,3003.488525390625,2.78216821143605,2.449277234184043,0.2880001068115234,433.8606371193604,1005.3848434411344
未来城二回（477）,Pattern 2,55.8521448791464,34.57029832329244,231.07911896465905,2430.684814453125,1.2051255966846202,2.2222823823190563,0.2880001068115234,433.8606371193604,1005.3848434411344
枇杷坪一回(457),Pattern 2,24.46291617455785,42.259564352883125,215.04183240451965,585.5155639648438,0.7603053238997299,4.3187024537130965,0.312000036239624,433.8606371193604,1005.3848434411344
枇杷坪七回(468),Pattern 2,23.65481759381056,38.81005938806167,200.3611492710563,542.399169921875,0.52456282004201,4.5362079501397545,0.2720000743865967,433.8606371193604,1005.3848434411344
枇杷坪三回(465),Pattern 2,20.12305213744062,49.35140690536373,225.7014402861546,325.90325927734375,0.0,5.666685070363077,0.408000111579895,433.8606371193604,1005.3848434411344
枇杷坪二回(458),Pattern 1,22.898873372461708,36.35026647777103,193.44074504594263,612.5492553710938,1.0104262735722,4.151693207741661,0.2320001125335693,433.8606371193604,1005.3848434411344
枇杷坪六回(467),Pattern 1,24.23700715819066,38.94223790861656,201.5506363503375,623.697998046875,0.66935419466166,4.420101280170729,0.2720000743865967,433.8606371193604,1005.3848434411344
枇杷坪四回(464),Pattern 2,19.12628006234613,52.76260397092456,237.45858118088543,314.53680419921875,0.0,5.640843696059607,0.4480000734329223,433.8606371193604,1005.3848434411344
