line_name,date,year,month,day_of_year,weekday,pattern,observed_kwh,observed_mwh_per_day,log1p_kwh,tas_c_mean_7d,pred_target,pred_log1p_kwh,predicted_kwh,predicted_mwh_per_day,base_value,explanation_model,target
申飞二回(473),2024-10-23,2024,10,297,2,Pattern 1,11964.39165547894,11.96439165547894,9.389773733235826,17.014285223824636,9.904780631579767,9.904780631579767,20024.87830861623,20.02487830861623,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
熊铁一回(456),2024-07-07,2024,7,189,6,Pattern 1,20947.99870305244,20.947998703052438,9.949846129604383,26.80000032697405,11.006817654724165,11.006817654724165,60282.737595447375,60.28273759544737,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
红沙一回(459),2024-03-20,2024,3,80,2,Pattern 1,31153.33100772379,31.153331007723793,10.34670855171692,14.76428576878139,8.566256665533812,8.566256665533812,5250.435073328725,5.250435073328725,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
映流二回(473),2024-08-11,2024,8,224,6,Pattern 1,30724.52369680176,30.72452369680176,10.332848978936715,31.121428625924246,10.524274834293763,10.524274834293763,37206.84236454272,37.206842364542716,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
金管一回（466）,2024-12-19,2024,12,354,3,Pattern 1,101925.7945980975,101.92579459809751,11.532010134577805,6.021428653172085,11.400467263302984,11.400467263302984,89362.46987683926,89.36246987683926,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
走中线（454）,2024-09-03,2024,9,247,1,Pattern 1,32746.46684845155,32.74646684845155,10.396580889932993,27.914285932268417,9.949627268384575,9.949627268384575,20943.414281336885,20.943414281336885,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
龙腾四回（461）,2024-11-28,2024,11,333,3,Pattern 1,17992.35427870912,17.992354278709122,9.79775776196633,10.849999836512973,9.387863950006556,9.387863950006556,11941.56215779834,11.94156215779834,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
光明一回（452）,2024-06-30,2024,6,182,6,Pattern 1,37942.15613628425,37.94215613628425,10.543844427595907,24.192857469831193,10.352962951574977,10.352962951574977,31348.793263542742,31.348793263542742,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申城线(468),2024-01-25,2024,1,25,3,Pattern 1,18987.02653749111,18.98702653749111,9.851563877262981,0.49999997445515226,8.15429913101481,8.15429913101481,3477.300637750612,3.4773006377506124,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
五桥一回（462）,2024-07-06,2024,7,188,5,Pattern 1,45672.0,45.672,10.729262592657507,27.335714067731583,10.301967903038811,10.301967903038811,29790.187373567496,29.790187373567495,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
医专一回（476）,2024-01-22,2024,1,22,0,Pattern 1,56140.66258660785,56.140662586607846,10.935633464486404,6.221428564616612,10.15633570309558,10.15633570309558,25752.754546539392,25.752754546539393,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
龙高线（454）,2024-06-24,2024,6,176,0,Pattern 1,2101.983314881046,2.1019833148810463,7.651112241710715,21.614285605294363,6.501855970781802,6.501855970781802,665.3772627726987,0.6653772627726987,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
江盐线(463),2024-03-19,2024,3,79,1,Pattern 1,19526.12503138756,19.52612503138756,9.879559805220334,14.807142802647181,9.68907648226957,9.68907648226957,16139.33152619731,16.13933152619731,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
古瑞线(455),2024-12-13,2024,12,348,4,Pattern 1,34012.55513746441,34.01255513746441,10.434514404659998,6.01428576878139,10.378640367333306,10.378640367333306,32164.198892513043,32.16419889251304,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
熊家一回(465),2024-12-24,2024,12,359,1,Pattern 1,30524.97622858918,30.524976228589182,10.326333279748079,5.2357141971588135,10.156498470953778,10.156498470953778,25756.946771177947,25.756946771177947,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
后铁线（454）,2024-10-25,2024,10,299,4,Pattern 1,25607.6264479117,25.607626447911702,10.150684544327357,16.4285717010498,10.056780660444302,10.056780660444302,23312.33189944785,23.31233189944785,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
