Daily temperature,3-day temperature,7-day temperature,15-day temperature,7-day Tmax,7-day Tmin,Diurnal temperature range,CDD24,HDD18,7-day CDD24,7-day HDD18,Built-up share,Natural/green share,Elevation,Population density,Residential share,Nearest industrial distance,NDVI p50,pattern
0.0015831352,0.0038134116,-0.011404151,-0.041133292,-0.018960737,-0.04865309,0.014604011,0.00035917741,0.001788838,-0.0018193123,-0.009851031,0.028938398,0.2471309,0.09832001,0.24761978,0.415643,0.22452967,0.091521464,Pattern 1
0.0005746038,0.013880127,0.021483833,0.24571556,-0.114860184,0.039038166,-0.007280666,0.006901762,-0.007862744,0.14427432,-0.08100249,0.25226372,-0.011335805,0.13620442,0.36750466,-0.018714491,-0.061540395,0.1256243,Pattern 1
0.034339488,0.10881946,0.14261618,0.08143249,0.1029045,0.1602864,0.011964757,0.028025897,0.00044913904,0.048785187,0.0071289907,0.30283165,0.0795257,-0.09149862,0.27699265,0.36939636,0.08359811,0.08767035,Pattern 1
0.0037943246,0.022115668,-0.055597063,0.39416414,0.042955264,-0.03756354,0.021367261,-0.0013155744,0.0074456437,-0.015537713,-0.014153237,0.24846263,-0.018588627,0.11162826,0.35939452,-0.03028363,-0.081825286,0.12187707,Pattern 1
0.019936007,-0.003331948,0.01571121,0.005231284,0.07095317,0.042898662,0.09114466,-0.00077699416,0.0116180815,-0.010418077,0.008516685,-0.19725108,-0.00035511787,0.079758555,0.29428777,0.04427151,-0.16429059,-0.26688337,Pattern 1
0.061878495,0.095557936,-0.094029464,-0.10595449,0.030881451,-0.020620184,0.07120519,0.0014864223,0.044539966,-0.001046616,0.011552091,0.3229674,0.10818053,0.14674488,0.4021933,0.1902564,-0.0010823704,0.0786982,Pattern 1
0.0038740996,-0.013912593,-0.06837214,-0.21623492,0.09556768,-0.025226628,-0.008754554,-0.011291157,0.018889625,-0.13712513,0.017483654,0.3458435,0.013899846,0.10376395,0.3796241,0.012219819,0.010355264,0.08278839,Pattern 1
-0.034707822,-0.08668492,-0.05678952,-0.061269358,-0.05679629,-0.15415554,-0.0047157602,0.002569619,-0.015151395,-0.010042149,-0.06453171,0.28370208,0.15050615,0.19663854,0.40213096,0.45824638,0.08953718,0.10954482,Pattern 1
-0.015171902,0.05384484,-0.095934205,-0.16965848,0.004240406,-0.010627345,0.015785689,0.000366582,0.001598127,-0.027841492,-0.09000437,-0.01549174,-0.08010708,-0.09094309,0.23740454,0.18853442,0.08335848,0.09915898,Pattern 1
-0.0883224,-0.1102353,-0.027453154,0.152566,-0.12930831,-0.19476175,-0.026691081,-0.00025927066,-0.09867479,-0.06025496,0.08627222,0.25138876,0.09172933,0.19298619,0.34968162,0.34822717,0.030328276,0.07476542,Pattern 1
