Daily temperature,3-day temperature,7-day temperature,15-day temperature,7-day Tmax,7-day Tmin,Diurnal temperature range,CDD24,HDD18,7-day CDD24,7-day HDD18,Built-up share,Natural/green share,Elevation,Population density,Residential share,Nearest industrial distance,NDVI p50
0.7331991088303911,0.7031084893181246,0.6291120561720908,0.5952576014933733,0.669434191446469,0.5692980407890641,0.6049413444699853,0.0,0.0,0.003918741009156244,0.0,0.933996839263296,0.2458109691946849,0.13844078347543448,0.19457471167914117,0.5111508221505339,0.0,0.319822361934427
0.6375775580790665,0.6058620844901895,0.5930260871207307,0.5328571858303826,0.6544295570139977,0.5090293517764319,0.8405501506299529,0.0,0.0,0.0,0.0,0.02591618522058883,0.7289273908486862,0.5840711322159984,0.029338454516819584,0.04727519623765755,0.555437111891314,0.7917823261448315
0.5050495000151682,0.4898488364584442,0.48148766883008454,0.4150839865538265,0.5366658811857294,0.40876416548871747,0.37570036686011393,0.0,0.050463586807327536,0.0,0.11845747311302036,0.827764124411407,0.30979442144496616,0.14953141711322435,0.16214395801064815,0.492786405075755,0.009074561912727474,0.44475280077099494
0.9160543561266828,0.9015821280673082,0.9170427142362049,0.9436094153242819,0.8863193981460626,0.9331017614661639,0.598573515919889,0.6853622058557824,0.0,0.6779396906678045,0.0,0.04929030029208568,0.7680066604043407,0.37323015899468054,0.06767560100750088,0.22145640908543382,0.07701205028273059,0.8611883553269987
0.2316054336896411,0.30900466272168764,0.4358124204480863,0.47566690758343205,0.3552461744479979,0.5282057476007512,0.11462048941221686,0.0,0.5645619037837077,0.0,0.1988563621973318,0.27875344968551063,0.746739860869901,0.3007174217815367,0.7039537233722871,0.14114127144247804,0.07873876394066692,0.7362577096447642
0.7466196627617132,0.7014023732197933,0.657375188665406,0.6187637822205039,0.6780732236552389,0.6202524736832569,0.8087111293356992,0.05030175826058418,0.0,0.00783744464642852,0.0,0.6526117038042644,0.2360788180113394,0.08509671128213475,0.5804953027891891,0.2042294646593128,0.03475769386091803,0.18101051041575916
0.7214561001426408,0.7224440161941541,0.6947229046171253,0.7155752909456135,0.6630685892227675,0.7194218536074315,0.5348955947876094,0.0,0.0,0.014695222726509964,0.0,0.5599000247403075,0.5628010675398738,0.14506604265874815,0.6340480519868766,0.5811725314618058,0.013033420448770157,0.5974458581260963
0.6593859662167461,0.6047246954518607,0.5836891581328009,0.5291010418099954,0.5885000874470192,0.5682022422632562,0.7068262369028422,0.0,0.0,0.0,0.0009514693645070031,0.016233403722668807,0.950829973609307,0.7055238262207079,0.01025553420954533,0.10530104482981853,0.02437827873378841,0.9722375883271331
0.14940445286820084,0.30047428289852923,0.3520324315587475,0.35377406651533944,0.2606714775294678,0.46026650025839133,0.0,0.0,0.7191068038138353,0.0,0.3363431363985909,0.8092686807077081,0.31185992653796174,0.14872871445205316,0.16214395801064815,0.48155231630683265,0.0077953310905098955,0.44475280077099494
0.7717832253807855,0.7326804741513339,0.7956626277667528,0.8333484717337284,0.8026571764300413,0.7703762969519333,0.8914925361182675,0.14461764494581827,0.0,0.242960970898704,0.0,0.06994068599766223,0.9999364726413429,0.2820820073898646,0.02762393738137508,0.1756935558186815,0.4866179766546233,0.8889505601541989
0.5788625786345644,0.5876639249585974,0.5486126000786388,0.5635121441163348,0.5398486822975801,0.5506695337773396,0.6431482550424488,0.0,0.0,0.0,0.035204221304609595,0.7698844848173588,0.24407218695596208,0.10651474760716159,0.2507028042883231,0.578455647791071,0.14894589706674904,0.1948917162521926
0.14604931438537033,0.10939365662806608,0.12441328880870585,0.1181064947201697,0.10062200961602116,0.15892305388894168,0.38843602396030646,0.0,0.7254147521647512,0.0,0.7654541864920675,0.055843939114651193,0.7626717722016451,0.07188675850575317,0.2688085468857059,0.0,0.04567026495449515,0.6946140921354639
0.37755407768198573,0.4841619129606896,0.5647629546274154,0.5244967474936927,0.5689485930444111,0.5506695337773395,0.12098825723419923,0.0,0.29016592492883686,0.0,0.04662181738315629,1.0,0.2092662857948811,0.12716235660995237,0.222225619035676,0.31605793801778564,0.009892464377402594,0.2504163327522597
0.7919140882748932,0.774195033040054,0.7583149503204931,0.7413836061200922,0.7208137056400322,0.7879090211133137,0.45848189509890985,0.22007040226554625,0.0,0.09698848494371935,0.0,0.03831937677003172,0.9314983316679543,0.4739884684634204,0.03470537184390486,0.0,0.04194289758685416,0.8473071494905652
0.13766146017901287,0.121904887238431,0.1223944956934044,0.038500533103883385,0.13927032153029278,0.10796861903531607,0.4202750604365885,0.0,0.7411846380813762,0.0,0.7692600458023268,0.038235467879461346,0.989264896907745,0.48145725365325515,0.31186538315294043,0.07802514205253093,0.11723850047677607,0.9444753834999328
0.18295588569219284,0.15375166641871735,0.13375021779663565,0.10332425862289418,0.1433624937689262,0.12769291608197228,0.42664290416871326,0.0,0.6560272300686648,0.0,0.7478520667658783,0.20656490815418124,0.665709176187937,0.2695844775383924,1.0,0.039690491661411184,0.12032050465511875,0.7084952979718973
0.3389699611315914,0.3067299063389208,0.37070627268846856,0.38963914488441836,0.3393321515438496,0.4060246874622388,0.48395308784306723,0.0,0.3627073760823756,0.0,0.30113892870480785,0.008997946530862774,1.0,0.571575695452149,0.03513807312063023,0.0,0.04566625576121544,0.9305941776634993
0.4698205379461666,0.47165069862074327,0.48274941573044355,0.47784789421032886,0.4620973750737574,0.501358798671859,0.24197657458923091,0.0,0.1166970595312801,0.0,0.08991350106442238,0.0348819301597365,0.9708711406535014,0.41277751614223585,0.03201280532668304,0.1831233979098502,0.0,0.8195447378176983
0.40271764030105806,0.3704234430056022,0.42925133560358286,0.45094906607843305,0.39798664776034404,0.4624580868596979,0.5221599376874171,0.0,0.24285626717896178,0.0,0.1979048837589405,0.010809815680133639,0.9505753055908929,0.5044156331656903,0.05088992725428979,0.0,0.22940178227248503,0.8889505601541989
0.629189703872709,0.6689869266377066,0.5793992263726722,0.5190442890151435,0.6139625136867198,0.5282057528259059,0.8978604253964774,0.0,0.0,0.02351237131116953,0.04424315304577313,0.35300058679754276,0.5422106667989671,0.22931718968220552,0.9990169364933293,0.1751745782427832,0.05602908575989774,0.6113270639625297
0.49330649132741805,0.4733567713312912,0.49259103577742497,0.4697297746250929,0.5193878124319662,0.4536917352293169,0.5603667268036531,0.0,0.07254145115353884,0.0,0.07897164874201357,0.005300515408217516,0.8713529520780393,0.394821392166597,0.012569971138972928,0.045055483170651583,0.4134942705806953,0.7640199144719645
0.10243246611288674,0.11678665283636828,0.15469521441732256,0.1773565932851247,0.11926413939618184,0.20220693237227255,0.15919507671449212,0.0,0.8074181709626694,0.0,0.7083662423948716,0.10585916029147911,0.8941976741125942,0.3421745623014747,0.008743764602167817,0.0,0.005057455226283227,0.7640199144719645
0.808689796687608,0.7366613249385402,0.7843069249162512,0.8135984627596464,0.736727724207957,0.8251660142361443,0.6367803657642389,0.2829476600557023,0.0,0.2047534516047924,0.0,0.872266187691937,0.029665915641680207,0.012222659253952895,0.28609621424292797,0.6714881811362104,0.1517901729811808,0.028317453060657652
0.20979702555196156,0.12361097621939741,0.11860925739891853,0.08514938580948338,0.15291090360881393,0.0833132452777046,0.7068262824489276,0.0,0.6055635831039966,0.0,0.7763960342775341,0.19326080812174584,0.6837857745527185,0.2741555758396789,1.0,0.0,0.12406392848378789,0.7084952979718973
0.5939607418037074,0.5688970817547864,0.569305241543435,0.5375826464555777,0.5694032721034672,0.5599837846706246,0.7641365116693669,0.0,0.0,0.0,0.0,0.21772539952451705,0.6176106417524826,0.2318589571635951,0.06881934068691553,0.1543596527956028,0.001723757450205205,0.6390894756353966
1.0,1.0,0.9897193145188822,0.9974070438554122,0.9927159544025548,0.9626882171598854,0.7959755936917342,1.0,0.0,0.960087884798651,0.0,0.2382468506544924,0.41119646253433145,0.031003673800469537,0.030227733057246475,0.0,0.3227415273338041,0.38922818427092776
0.6979701467613895,0.6314532619239759,0.6169992878539171,0.5975597405628317,0.5825891642823734,0.6476473323253623,0.6622515585083962,0.0,0.0,0.0,0.0,0.4481272182636843,0.271219634688888,0.04218918764684307,0.08956603118048437,0.06599012774081474,0.22627559437336664,0.1948917162521926
