pattern,temp7_c,temperature_effect_log1p,ridge_alpha,n_train,n_lines
Pattern 2,14.187012817952539,-0.8037986511215867,1.0,228640,160
Pattern 2,14.48347746104561,-0.8079887638657147,1.0,228640,160
Pattern 2,14.77994210413868,-0.8102696917491129,1.0,228640,160
Pattern 2,15.07640674723175,-0.8108295238538926,1.0,228640,160
Pattern 2,15.372871390324821,-0.8098563492621653,1.0,228640,160
Pattern 2,15.669336033417892,-0.8075382570560423,1.0,228640,160
Pattern 2,15.965800676510963,-0.8040633363176352,1.0,228640,160
Pattern 2,16.262265319604033,-0.7996196761290554,1.0,228640,160
Pattern 2,16.558729962697104,-0.794395365572414,1.0,228640,160
Pattern 2,16.855194605790174,-0.788578493729823,1.0,228640,160
Pattern 2,17.151659248883245,-0.7823571496833938,1.0,228640,160
Pattern 2,17.448123891976316,-0.7759193940234096,1.0,228640,160
Pattern 2,17.744588535069386,-0.7694539053144902,1.0,228640,160
Pattern 2,18.041053178162457,-0.7631489775729511,1.0,228640,160
Pattern 2,18.337517821255528,-0.7571926998809039,1.0,228640,160
Pattern 2,18.6339824643486,-0.75177316132046,1.0,228640,160
Pattern 2,18.93044710744167,-0.7470784509737307,1.0,228640,160
Pattern 2,19.22691175053474,-0.7432964885979259,1.0,228640,160
Pattern 2,19.52337639362781,-0.740519527879833,1.0,228640,160
Pattern 2,19.81984103672088,-0.7385485169056757,1.0,228640,160
Pattern 2,20.11630567981395,-0.7371258676481104,1.0,228640,160
Pattern 2,20.412770322907022,-0.7359939920685981,1.0,228640,160
Pattern 2,20.709234966000093,-0.7348953021285994,1.0,228640,160
Pattern 2,21.005699609093163,-0.7335722097895754,1.0,228640,160
Pattern 2,21.302164252186234,-0.7317671270129864,1.0,228640,160
Pattern 2,21.598628895279305,-0.729221686498202,1.0,228640,160
Pattern 2,21.895093538372375,-0.7256771215550235,1.0,228640,160
Pattern 2,22.191558181465446,-0.7208767531243682,1.0,228640,160
Pattern 2,22.488022824558517,-0.7145629931676968,1.0,228640,160
Pattern 2,22.784487467651587,-0.70647825364647,1.0,228640,160
Pattern 2,23.080952110744658,-0.6963649465221488,1.0,228640,160
Pattern 2,23.37741675383773,-0.6839654837561935,1.0,228640,160
Pattern 2,23.6738813969308,-0.6690222773100656,1.0,228640,160
Pattern 2,23.97034604002387,-0.6512777391452252,1.0,228640,160
Pattern 2,24.26681068311694,-0.6304742812231336,1.0,228640,160
Pattern 2,24.56327532621001,-0.6064018224727107,1.0,228640,160
Pattern 2,24.85973996930308,-0.579169619675767,1.0,228640,160
Pattern 2,25.156204612396152,-0.5490246380527822,1.0,228640,160
Pattern 2,25.452669255489223,-0.5162146012284141,1.0,228640,160
Pattern 2,25.749133898582294,-0.48098616429778784,1.0,228640,160
Pattern 2,26.045598541675364,-0.4435854542398275,1.0,228640,160
Pattern 2,26.342063184768435,-0.40426386861948616,1.0,228640,160
Pattern 2,26.638527827861505,-0.3632691310614213,1.0,228640,160
Pattern 2,26.934992470954576,-0.3208489651902902,1.0,228640,160
Pattern 2,27.231457114047647,-0.2772510946307505,1.0,228640,160
Pattern 2,27.527921757140717,-0.23272324300745945,1.0,228640,160
Pattern 2,27.824386400233788,-0.18751313394507468,1.0,228640,160
Pattern 2,28.12085104332686,-0.1418684910682536,1.0,228640,160
Pattern 2,28.41731568641993,-0.0960370380016536,1.0,228640,160
Pattern 2,28.713780329513,-0.050266498369932175,1.0,228640,160
Pattern 2,29.01024497260607,-0.004804595797746755,1.0,228640,160
Pattern 2,29.30670961569914,0.04010094609024516,1.0,228640,160
Pattern 2,29.60317425879221,0.08420347525692595,1.0,228640,160
Pattern 2,29.899638901885282,0.12727498281536626,1.0,228640,160
Pattern 2,30.196103544978353,0.16910173701784195,1.0,228640,160
Pattern 2,30.492568188071424,0.20947489774965602,1.0,228640,160
Pattern 2,30.789032831164494,0.248183765655838,1.0,228640,160
Pattern 2,31.085497474257565,0.2850176413814176,1.0,228640,160
Pattern 2,31.381962117350636,0.31976582557142447,1.0,228640,160
Pattern 2,31.678426760443706,0.35221761887088804,1.0,228640,160
Pattern 2,31.974891403536773,0.38216232192483773,1.0,228640,160
Pattern 2,32.27135604662984,0.4093892353783036,1.0,228640,160
Pattern 2,32.567820689722915,0.43368765987631547,1.0,228640,160
Pattern 2,32.86428533281599,0.4548468960639027,1.0,228640,160
Pattern 3,0.9155714706863677,0.15467076339576924,1.0,15719,11
Pattern 3,1.2252987468965126,0.12359665187583857,1.0,15719,11
Pattern 3,1.5350260231066577,0.0934300465100865,1.0,15719,11
