scenario,period,line_name,pattern,model_count,baseline_gwh_mean,annual_counterfactual_gwh_mean,annual_change_gwh_mean,annual_change_gwh_p10,annual_change_gwh_p90,annual_change_pct_mean,annual_change_pct_p10,annual_change_pct_p90
ssp126,2090s,龙腾五回（459）,Pattern 1,31,4.709731938399032,4.786944186283795,0.07721224788476276,0.04344933344218578,0.10448312048721668,1.6402617466520968,0.9204450869453586,2.213556423403552
ssp126,2090s,龙腾四回（461）,Pattern 1,31,4.6892886754850185,4.766128465809794,0.07683979032477509,0.04323981835621531,0.1039754457078543,1.6394658439412662,0.9200004539490452,2.2124053603380056
ssp126,2090s,龙驹二回（461）,Pattern 2,31,2.7440917223838532,3.0585056640512263,0.31441394166737335,0.14946937668089028,0.5277514913480497,11.467440971633655,5.429355939158947,19.527356287583842
ssp126,2090s,龙驹线（453）,Pattern 1,31,7.906070006723073,8.004096296044546,0.09802628932147138,0.04531762764040696,0.17423193493341407,1.240781817869898,0.5719937161829748,2.200207200824691
ssp126,2090s,龙高线（454）,Pattern 1,31,0.8192924608489883,0.8274671376792971,0.008174676830308833,0.0037449606384256312,0.01559112664999901,0.9985249318939493,0.4560583641295981,1.8997275450183893
ssp585,2030s,万书线（462）,Pattern 2,33,17.306397819497864,18.691894585327486,1.3854967658296236,0.9375260866020619,1.9159650746415957,8.0086334604534,5.418154150407057,11.078207762730345
ssp585,2030s,万利高速（457）,Pattern 1,33,1.3056371824993305,1.3219973082993342,0.016360125800003594,0.011421114700662763,0.022420142536472645,1.2534926652989715,0.8752959331950988,1.7383585027083048
ssp585,2030s,万复线（467）,Pattern 2,33,12.71356709968891,13.940693250103877,1.2271261504149669,0.8431435967143628,1.6965162773496838,9.655765239459464,6.620327104033133,13.355018082732888
ssp585,2030s,万州桥四回（454）,Pattern 2,33,1.3659441925741855,1.4671185110073575,0.10117431843317204,0.0674811207155612,0.13972869349305012,7.409378233857443,4.944373490105307,10.235113786202373
ssp585,2030s,万永线（463）,Pattern 1,33,18.50067864261485,18.75052288054112,0.24984423792626734,0.17368252962606734,0.33839533626451734,1.3509809945551174,0.9378180968626071,1.8390804502020257
ssp585,2030s,万滨一回（459）,Pattern 2,33,16.229871185656744,17.474915664889405,1.245044479232662,0.8084909663456208,1.6911697783970931,7.673872423008497,4.974055664502117,10.516802460615779
ssp585,2030s,万滨二回（461）,Pattern 2,33,12.285601026036659,13.29868862299878,1.0130875969621203,0.6970671523210267,1.3953736925157874,8.248847129865375,5.660170351965335,11.332210917829686
ssp585,2030s,三铁二回（462）,Pattern 1,33,5.8650028715535045,5.957221707297753,0.0922188357442485,0.06175822319768086,0.12613613938201582,1.5729168712787847,1.0534628390889547,2.1739496233186406
ssp585,2030s,三高线（461）,Pattern 2,33,9.143228908593725,9.833315967023552,0.6900870584298275,0.4134224276009028,0.9540940563473469,7.550505988394969,4.511494927841903,10.442289438107323
ssp585,2030s,五乐线（442）,Pattern 2,33,10.931200192130742,11.894759032775982,0.9635588406452386,0.6451052743825733,1.3261378005700426,8.81777643649515,5.902554118146757,12.139756021746523
ssp585,2030s,五俪一回（477）,Pattern 2,33,13.930419411717395,15.053477600048506,1.123058188331112,0.7621827762321781,1.5572000335614713,8.06504978442564,5.462230919982799,11.18750471940557
ssp585,2030s,五俪二回（482）,Pattern 1,33,19.78652126757645,20.108647092810347,0.3221258252338963,0.20892606782782178,0.452347680219521,1.6287191648491623,1.0550079230916631,2.3087292943382627
ssp585,2030s,五友线（488）,Pattern 1,33,2.345193208652781,2.3669039369595772,0.021710728306795553,0.013456084011186724,0.031113768541928693,0.92614224651051,0.5732084364588124,1.327347132821543
ssp585,2030s,五星二回（481）,Pattern 2,33,7.073436395399668,7.60309585189488,0.5296594564952123,0.3123999143486155,0.7479701856626723,7.4904510526541745,4.407415666178049,10.581708387485172
ssp585,2030s,五桥一回（462）,Pattern 1,33,14.297574605833203,14.483678912956224,0.18610430712302187,0.1381088710721037,0.23992740528599688,1.3021227129965107,0.9645195328752489,1.6991105639431274
ssp585,2030s,五桥三回（461）,Pattern 1,33,14.156724658266313,14.360540660960881,0.20381600269456904,0.1547738907654944,0.26633320947255656,1.440196627799249,1.09104403380041,1.8871977365596304
ssp585,2030s,五桥二回（479）,Pattern 2,33,12.454559913730721,13.337108471894684,0.8825485581639612,0.5127452713474703,1.2416340866132907,7.088746336366691,4.108230952788414,10.06377790899214
ssp585,2030s,五桥五回（472）,Pattern 2,33,1.063516005810895,1.1511533826928895,0.08763737688199452,0.05738527472600895,0.1189463286183654,8.243516603624972,5.383821321256664,11.192566400320631
ssp585,2030s,五桥六回（485）,Pattern 2,33,13.407131042091196,14.474322743015016,1.0671917009238203,0.7097790926271748,1.4659337722383907,7.962562094913003,5.295785612597729,10.940983842331581
ssp585,2030s,五桥四回（467）,Pattern 1,33,14.293372274966845,14.477609210936597,0.1842369359697518,0.13334752452443288,0.24157136951447908,1.2894098366037616,0.9333299655582483,1.7111130142186952
ssp585,2030s,五水一回（441）,Pattern 1,33,0.07230129698220221,0.07330429969237036,0.0010030027101681394,0.0007269856712698307,0.0013188259731052338,1.3878397473543158,1.0033867964747603,1.8348764514600688
ssp585,2030s,五水二回（465）,Pattern 2,33,9.630574286591782,10.375350001639616,0.7447757150478339,0.4691397126416754,0.9950745061728573,7.736586342103141,4.872611588522143,10.312844503506948
