scenario,year,pattern,model_count,baseline_gwh_mean,annual_counterfactual_gwh_mean,annual_change_gwh_mean,annual_change_gwh_p10,annual_change_gwh_p90,annual_change_pct_mean,annual_change_pct_p10,annual_change_pct_p90
ssp126,2033,Pattern 2,31,1279.5939635508134,1362.4090775841594,82.8151140333459,43.118814883082656,130.2717056556053,6.4750509340153615,3.3629227602481904,10.160151320333961
ssp126,2033,Pattern 3,31,135.04932050811178,136.21525477435694,1.165934266245181,0.34482942567148267,2.211971900169408,0.8653801901892142,0.2545315925414952,1.6327398084162923
ssp126,2034,Pattern 1,31,1033.860319594812,1044.963235245048,11.102915650236023,5.601871999481381,15.85583380546924,1.0741322817410865,0.540789991892029,1.5341808429503616
ssp126,2034,Pattern 2,31,1279.5939635508134,1361.1499934647377,81.5560299139242,36.93213129610651,122.21338530241007,6.375707417302554,2.8804109124270014,9.531666771335754
ssp126,2034,Pattern 3,31,135.04932050811178,136.12375076496252,1.0744302568507949,0.3188809609703578,1.779517244939432,0.7962883195898015,0.23537805298632872,1.3135287321477158
ssp126,2035,Pattern 1,31,1033.7840806566771,1046.0849068942834,12.300826237606362,5.850416412030878,19.907268703980908,1.1902329813385992,0.5647838158958433,1.9488494566552501
ssp126,2035,Pattern 2,31,1279.481391623599,1370.1825036102514,90.7011119866526,44.09948146085181,135.82684059232662,7.091474170115971,3.439406911390491,10.593407423629127
ssp126,2035,Pattern 3,31,135.04487466620643,136.33962340484936,1.2947487386429768,0.4885274370196783,2.153507306045086,0.9597749630654611,0.3606005093756043,1.5895848884996462
ssp126,2036,Pattern 1,31,1035.3244698881772,1048.0649259520285,12.740456063851259,5.665505417395462,20.581642727403867,1.2314625789707139,0.5469329947241187,1.9813811001982393
ssp126,2036,Pattern 2,31,1281.2889590903528,1376.467553685246,95.17859459489308,39.6555369883883,164.82181833474903,7.4353110942896645,3.0928147786463676,12.854783828506584
ssp126,2036,Pattern 3,31,135.10799411540083,136.56983136904768,1.4618372536469038,0.44115750696976447,3.002469591211226,1.0852903330551271,0.3253590243917668,2.2696092620712824
ssp126,2037,Pattern 1,31,1033.860319594812,1046.425841651447,12.565522056634906,6.0172025427139575,17.68764661129423,1.215598267829508,0.5808849103635777,1.7075188916127384
ssp126,2037,Pattern 2,31,1279.5939635508134,1371.7098445371028,92.11588098628937,42.88549614871461,137.82926005340025,7.200743626560056,3.34472576470631,10.749580129197863
ssp126,2037,Pattern 3,31,135.04932050811178,136.3280658411551,1.2787453330433767,0.4663464566373534,1.8000373625989647,0.9471299805191854,0.34422789195801906,1.328675404206949
