line_id,pattern,pattern_order,peak_month,seasonality_ratio,summer_winter_ratio,month,normal_index
江体一回（465）,Pattern 2,2,8,0.7637976581587104,1.7704497575759888,9,1.3005763049375862
江体一回（465）,Pattern 2,2,8,0.7637976581587104,1.7704497575759888,10,0.7632016630216405
江体一回（465）,Pattern 2,2,8,0.7637976581587104,1.7704497575759888,11,0.6947526084586251
江体一回（465）,Pattern 2,2,8,0.7637976581587104,1.7704497575759888,12,0.9417295528328076
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,1,1.3386476140704782
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,2,1.8567918240328625
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,3,0.7343862369854718
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,4,0.29661955519073613
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,5,0.18828274163768927
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,6,0.18864805905324847
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,7,0.3235552978502846
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,8,1.4907734889494786
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,9,1.621270167204429
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,10,0.44635485268549147
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,11,1.2602611493342344
江体二回（466）,Pattern 3,3,2,1.6837154319531376,0.7262832522392273,12,1.7577166121197334
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,1,1.2398247333739867
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,2,1.4433927964048001
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,3,0.9916210663809567
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,4,0.8501380850289705
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,5,0.8627229756627057
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,6,1.0516193277606796
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,7,1.1927660898934405
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,8,1.2201847850115546
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,9,0.6288529783069071
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,10,0.4897248920128987
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,11,0.6695520848748472
江山一回（458）,Pattern 1,1,2,0.8186359785406497,0.9000025987625122,12,1.2948655854430087
江山二回（476）,Pattern 2,2,8,1.0181828116544296,1.7928359508514404,1,1.119011215224483
江山二回（476）,Pattern 2,2,8,1.0181828116544296,1.7928359508514404,2,0.9427081435424605
江山二回（476）,Pattern 2,2,8,1.0181828116544296,1.7928359508514404,3,0.7649183016392228
