split,pattern,line_name,n_days,r2_kwh,mae_mwh_per_day,rmse_mwh_per_day,mean_observed_mwh_per_day,mean_predicted_mwh_per_day,bias_mwh_per_day,nrmse
train_2021_2023,Pattern 1,龙腾一回（477),1049,0.8751998450885221,1.0551135180562978,2.0688779483016098,13.013393842969828,12.690689399828337,-0.3227044431414971,0.158980660484603
train_2021_2023,Pattern 1,龙腾三回（476）,1049,0.9763067744814902,0.4805833204523643,2.0350501361049425,12.721495559495011,12.504283117943428,-0.2172124415515843,0.1599694097747832
train_2021_2023,Pattern 1,龙腾二回（462）,1049,0.9665084649053572,0.236163104193626,0.6781938360110941,5.312535321624705,5.237456577297389,-0.0750787443273159,0.1276591674130621
train_2021_2023,Pattern 1,龙腾五回（459）,1049,0.968537756868791,0.3690541542156942,0.5596680329965603,12.802161587177665,12.721405979909251,-0.0807556072684116,0.0437166824668976
train_2021_2023,Pattern 1,龙腾四回（461）,1049,0.969427957441749,0.3565228200440541,0.5494734210943238,12.746093188406943,12.674683463883014,-0.0714097245239297,0.0431091639588898
train_2021_2023,Pattern 2,龙驹二回（461）,1049,0.967128592312594,0.3396400071910558,1.3057238979489356,4.200854145467826,4.06090015105183,-0.1399539944159968,0.3108234308390929
train_2021_2023,Pattern 1,龙驹线（453）,1049,0.9199063975335064,3.611876164176348,5.57390823841201,29.34481508559169,27.29312577949284,-2.051689306098849,0.189945250026428
train_2021_2023,Pattern 1,龙高线（454）,1049,0.986410211615552,0.0500262134233328,0.1050646757032746,1.8538219556557256,1.8434958859744583,-0.0103260696812671,0.0566746312302206
holdout_2024,Pattern 2,万书线（462）,366,0.9370023370591936,3.004601643737361,4.983755398209639,50.42998544438617,49.25019718024249,-1.1797882641436817,0.0988252396722519
holdout_2024,Pattern 1,万利高速（457）,366,0.5664335147116488,0.1804834446917062,0.2538972240061622,3.343859047180901,3.333743266121286,-0.0101157810596153,0.0759294038485906
holdout_2024,Pattern 2,万复线（467）,366,0.916151268911789,3.116070190354758,6.9211137222033825,34.95163467126315,34.024709960562284,-0.926924710700863,0.1980197432051396
holdout_2024,Pattern 2,万州桥四回（454）,366,0.9179140914302132,0.261169769263147,0.3721185090307926,3.7323800269419647,3.749950697935344,0.0175706709933789,0.0997000590359709
holdout_2024,Pattern 1,万永线（463）,366,0.8377295112071359,3.3295567311717114,4.865925671137802,47.20279080301912,45.73323258730362,-1.4695582157154914,0.1030855504167896
holdout_2024,Pattern 2,万滨一回（459）,366,0.93162750537438,3.6018198788905664,5.309310409746194,50.97230999197217,49.5219163144638,-1.45039367750837,0.1041606788191937
holdout_2024,Pattern 2,万滨二回（461）,366,0.9006009772453174,2.449783212711889,4.608949140084353,32.91468719560485,32.2431419030695,-0.6715452925353508,0.1400271287007641
holdout_2024,Pattern 1,三铁二回（462）,366,0.9090011992362008,2.228117657945495,2.968967109864723,25.198410198488972,24.32562473818253,-0.8727854603064384,0.1178235883326781
holdout_2024,Pattern 2,三高线（461）,366,0.8543050421259788,2.7123640124919204,3.7707052828223926,30.47066458703625,29.10653467597336,-1.3641299110628873,0.1237487049897375
holdout_2024,Pattern 2,五乐线（442）,366,0.9188376870911932,2.196290974449625,3.3972220856973574,30.710371837425093,29.732706801784495,-0.9776650356406028,0.1106213270123074
holdout_2024,Pattern 2,五俪一回（477）,366,0.932129447544808,3.254499207817836,5.577565817779553,38.041293019175754,36.75149800418374,-1.2897950149920172,0.1466187233690513
holdout_2024,Pattern 1,五俪二回（482）,366,0.9147115380271214,3.076124005311399,5.033488566029918,53.96907428081711,52.37779771948642,-1.5912765613306947,0.0932661646156682
holdout_2024,Pattern 1,五友线（488）,366,0.9444058111988328,1.2022674459629796,2.1556754035465584,18.27002708971303,18.006550597143956,-0.2634764925690727,0.1179897212500749
holdout_2024,Pattern 2,五星二回（481）,366,0.95237892479941,1.5760307994491234,2.6928220766386843,21.636413940901782,21.028810648266735,-0.6076032926350469,0.1244578738414749
holdout_2024,Pattern 1,五桥一回（462）,366,0.8779530743876554,3.325426608393101,6.247950373455115,45.36897301912568,44.038722384093234,-1.3302506350324454,0.1377141680245051
