line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year
周铁一回(459),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
壤杨线（456）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
壤武线（453）,18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
壤武线（457）,18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
壤渡线（454）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
壤电线（458）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大三一回（456）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大三二回（478）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大医线（453）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大周线(451),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大安二回（459）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大安线（461）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大新二回（467）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
大桥一回（466）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
大桥三回（455）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大桥二回（462）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大桥四回（468）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大铁线（469）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
大高线（477）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
太九一回（464）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太九二回（469）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太九线（459）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太双一回（467）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太双三回（463）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太双二回（462）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太塘一回（468）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太塘二回（471）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太山一回（466）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太山二回（456）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太水一回（461）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太水二回（455）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太福二回（472）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太禾线（458）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
太金线（457）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
宁凉线（457）,18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
小周线(452),18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
平升一回（455）,17.588327,26.40172,330.87405,1375.7518,365,ssp126,ACCESS-CM2,2021
平升二回（459）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
平登线（458）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
平贝线（456）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
平铁线（457）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映周线(451),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映天一回(455),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映天三回(466),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映天二回(468),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映平线（453）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映水线(472),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映流三回(454),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映流二回(473),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映流线(453),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映申线(474),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映登线(452),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映祥线(471),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
映龙二回(469),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
未来城一回（459）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
未来城二回（477）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇杷坪一回(457),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇杷坪七回(468),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇杷坪三回(465),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇杷坪二回(458),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇杷坪六回(467),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇杷坪四回(464),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇海线(456),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇滨线(463),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇睿线(462),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
枇附线(455),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
桥高三回（473）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
桥高二回（472）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
武陵一回（456）,18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
武黄线（455）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
江万线（484）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
