line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,downscaled_minus_raw_c
五桥一回（462）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五桥三回（461）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五桥二回（479）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
五桥五回（472）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五桥六回（485）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五桥四回（467）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五水一回（441）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五水二回（465）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五汇线（463）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五联一回（469）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五联三回（484）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五联二回（471）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五茂一回（478）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五药线（456）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
五郦三回（483）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五长线（454）,18.960611,27.650126,484.23944,1119.5774,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.49419477034496,26.696759345760626,304.1551289534877,1319.2068385512098,365,-1.4664165730388277
五长线（455）,18.960611,27.650126,484.23944,1119.5774,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.49419477034496,26.696759345760626,304.1551289534877,1319.2068385512098,365,-1.4664165730388277
五陆线（459）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
五陈线（458）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五雄线（476）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
五龙一回（475）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
五龙二回（487）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
光国一回（454）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
光国二回（459）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
