line_name,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,scenario,model,year
后关线（461）,Pattern 1,17.442202369282523,26.625999251205158,298.14341438288903,1342.8354840159486,365,ssp126,ACCESS-CM2,2030
后桥线（455）,Pattern 2,16.257910587247096,25.290442415446538,185.97946370539552,1541.7357777966754,365,ssp126,ACCESS-CM2,2030
后紫线（462）,Pattern 1,16.540690408488388,25.577150492152416,208.67569804601004,1491.1332473111472,365,ssp126,ACCESS-CM2,2030
后铁线（454）,Pattern 1,17.871660265412054,27.068534486346543,341.84807527002306,1268.5046421163374,365,ssp126,ACCESS-CM2,2030
周医一回(464),Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,ssp126,ACCESS-CM2,2030
周医二回(468),Pattern 2,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,ssp126,ACCESS-CM2,2030
周家坝一回(456),Pattern 2,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,ssp126,ACCESS-CM2,2030
周柳线(452),Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,ssp126,ACCESS-CM2,2030
周铁一回(459),Pattern 2,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,ssp126,ACCESS-CM2,2030
壤杨线（456）,Pattern 2,18.60029919038284,27.88725567897404,427.8824342466413,1151.0350645970348,365,ssp126,ACCESS-CM2,2030
壤武线（453）,Pattern 2,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,ssp126,ACCESS-CM2,2030
壤武线（457）,Pattern 2,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,ssp126,ACCESS-CM2,2030
壤渡线（454）,Pattern 1,18.60029919038284,27.88725567897404,427.8824342466413,1151.0350645970348,365,ssp126,ACCESS-CM2,2030
壤电线（458）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
大三一回（456）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
大三二回（478）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
大医线（453）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
大周线(451),Pattern 2,18.833118759220856,28.259290950790575,474.3600285298741,1128.4882557141666,365,ssp126,ACCESS-CM2,2030
大安二回（459）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
大安线（461）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
大新二回（467）,Pattern 1,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
大桥一回（466）,Pattern 2,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
大桥三回（455）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
大桥二回（462）,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
大桥四回（468）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
大铁线（469）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
大高线（477）,Pattern 1,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
太九一回（464）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太九二回（469）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太九线（459）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太双一回（467）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太双三回（463）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太双二回（462）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太塘一回（468）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太塘二回（471）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太山一回（466）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太山二回（456）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太水一回（461）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太水二回（455）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太福二回（472）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太禾线（458）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
太金线（457）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
宁凉线（457）,Pattern 1,17.55497017284226,26.724918315775607,305.93662137143554,1318.220561534834,365,ssp126,ACCESS-CM2,2030
小周线(452),Pattern 1,18.855185049678745,28.262065301922416,474.37370642040145,1118.6258667393645,365,ssp126,ACCESS-CM2,2030
平升一回（455）,Pattern 1,18.184738238315717,27.49254842927178,386.2088181464355,1225.0545395560137,365,ssp126,ACCESS-CM2,2030
平升二回（459）,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,ssp126,ACCESS-CM2,2030
平登线（458）,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,ssp126,ACCESS-CM2,2030
平贝线（456）,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,ssp126,ACCESS-CM2,2030
平铁线（457）,Pattern 2,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,ssp126,ACCESS-CM2,2030
映周线(451),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映天一回(455),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映天三回(466),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映天二回(468),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映平线（453）,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,ssp126,ACCESS-CM2,2030
映水线(472),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映流三回(454),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映流二回(473),Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映流线(453),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映申线(474),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映登线(452),Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,ssp126,ACCESS-CM2,2030
映祥线(471),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
映龙二回(469),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
未来城一回（459）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
